0,479,232,North West Coast,0,0,No Region
1,882,90,Gulf of Alaska,0,0,No Region
2,1526,75,Bering Sea,0,0,No Region
3,1903,39,Sea of Okhotsk,0,0,No Region
4,2196,201,Sea of Japan,0,0,No Region
5,2434,188,Japanese Coast,0,0,No Region
6,2546,304,Shatsky Rise,0,0,No Region
7,2404,463,Yellow Sea,0,0,No Region
8,2677,589,China Sea,0,0,No Region
9,2614,888,South China Sea,0,0,No Region
10,2895,714,The Solomons,0,0,No Region
11,3159,881,Coral Sea,0,0,No Region
12,3330,1074,Tasman Sea,0,0,No Region
13,3263,1528,Great Australian Bight,0,0,No Region
14,2808,1386,North West Cape,0,0,No Region
15,2946,980,Timor Sea,0,0,No Region
16,2644,1127,Java Sea,0,0,No Region
17,2531,1335,Bay of Bengal,0,0,No Region
18,2076,1584,Arabian Sea,0,0,No Region
19,101,597,Gulf of California,0,0,No Region
20,187,1205,Gulf of Panama,0,0,No Region
21,109,1539,Peruvian Coast,0,0,No Region
22,52,1777,Chile Rise,0,0,No Region
23,284,1912,Garnet Bank,0,0,No Region
24,597,1352,Mouths of the Amazon,0,0,No Region
25,66,2175,Drake Passage,0,0,No Region
26,331,1115,Caribbean,0,0,No Region
27,433,1023,Gulf of Mexico,0,0,No Region
28,629,973,North American Basin,0,0,No Region
29,2092,1382,Persian Gulf,0,2,No Region
30,1735,1600,Red Sea,0,0,No Region
31,1915,1851,Azanian Sea,0,0,No Region
32,1795,1127,Caspian Sea,0,0,No Region
33,1763,2304,Mozambique Channel,0,0,No Region
34,1329,2289,Cape Basin,0,0,No Region
35,1169,1943,Gulf of Guinea,0,0,No Region
36,902,1783,Cape Verde Basin,0,0,No Region
37,907,1351,Pillars of Hercules,0,0,No Region
38,981,1124,Bay of Biscay,0,0,No Region
39,1154,1309,Western Mediterranean,0,0,No Region
40,1347,1378,Central Mediterranean,0,0,No Region
41,1529,1382,Eastern Mediterranean,0,0,No Region
42,1557,1166,Black Sea,0,0,No Region
43,976,915,The Faeroes,0,0,No Region
44,1118,776,Norwegian Coast,0,0,No Region
45,1562,604,Arctic Ocean,0,0,No Region
46,1151,965,North Sea,0,2,No Region
47,1330,898,Baltic Sea,0,0,No Region
48,763,564,Hudson Bay,0,0,No Region
49,507,2050,South Atlantic,1,0,No Region
50,699,1762,Central Atlantic,1,0,No Region
51,908,2207,Tristan de Cunha,1,0,No Region
52,763,1158,North Atlantic,1,0,No Region
53,933,725,Baffin Bay,1,0,No Region
54,238,173,Mendocino,1,0,No Region
55,87,349,Clarion,1,0,No Region
56,59,1118,Galapagos,1,0,No Region
57,2370,54,North Pacific,1,0,No Region
58,2755,32,Hawaiian Islands,1,0,No Region
59,3159,45,Polynesia,1,0,No Region
60,2838,231,Central Pacific,1,0,No Region
61,3261,205,South Pacific,1,0,No Region
62,3055,503,Melanesian Basin,1,0,No Region
63,3269,596,Pacific Islands,1,0,No Region
64,2917,1679,Great Southern Ocean,1,0,No Region
65,2035,2062,Roaring Forties,1,0,No Region
66,2520,1583,Indian Ocean,1,0,No Region
67,1447,29,Aleutian Islands,2,0,North America
68,1008,542,Baffin Island,2,0,North America
69,1135,634,Greenland,2,0,Europe
70,57,2088,Tierro del Fuego,2,0,South America
71,179,2057,Falkland Islands,2,0,South America
72,1248,199,Alaska,3,2,North America
73,1009,304,Northwest Territories,3,0,North America
74,931,428,Keewatin,3,0,North America
75,799,675,D'Ungava Penisula,3,0,North America
76,1333,693,Lapland,3,0,Europe
77,1557,704,Komi,3,0,Europe
78,1675,645,Yamal,3,0,Europe
79,1806,568,Putorana,3,2,Asia
80,1750,413,Yakutsk,3,0,Asia
81,1696,223,Kolymskoye,3,0,Asia
82,1606,166,Koryakskoye,3,0,Asia
83,1725,66,Kamchatka,3,0,Asia
84,839,334,Yukon,6,0,North America
85,696,323,Coast Range,6,0,North America
86,683,228,Queen Charlotte Islands,6,0,North America
87,514,380,British Columbia,6,0,North America
88,427,308,Vancouver Island,6,0,North America
89,387,489,Oregon,6,0,North America
90,258,565,California,6,2,North America
91,353,637,Rockies,6,0,North America
92,281,709,Grand Canyon,6,0,North America
93,314,1203,Llanos,6,0,South America
94,244,1321,Ecuador,6,0,South America
95,263,1493,Peru,6,0,South America
96,238,1610,Andes,6,0,South America
97,158,1738,Chile,6,0,South America
98,84,1920,Patagonia,6,0,South America
99,1717,2046,Mozambique,6,0,Africa
100,1686,1949,Tanzania,6,0,Africa
101,1674,1690,Ethiopia,6,0,Africa
102,1636,1596,Nubia,6,0,Africa
103,1364,1823,Cameroon,6,0,Africa
104,1114,1398,Mauretania,6,0,Africa
105,984,1444,Morocco,6,0,Africa
106,1050,1238,Castille,6,0,Europe
107,1244,1130,Alps,6,0,Europe
108,1353,1193,Illyria,6,0,Europe
109,1393,1284,Greece,6,0,Europe
110,1461,1358,Crete,6,0,Europe
111,1097,918,Scotland,6,0,Europe
112,1232,853,Norway,6,0,Europe
113,1666,1075,Caucasus,6,0,Europe
114,1702,1137,Armenia,6,2,Europe
115,1663,1224,Cappadocia,6,0,Asia
116,1813,1248,Alamut,6,0,Asia
117,1874,1330,Persia,6,2,Asia
118,1923,1195,Parthia,6,0,Asia
119,1849,692,Urals,6,0,Asia
120,2332,1375,Pandya,6,0,India
121,2044,1264,Pakistan,6,0,India
122,2054,1165,Kashmir,6,0,India
123,2300,1031,Bengal,6,0,India
124,2149,1022,Bihar,6,0,India
125,2626,1252,Sumatra,6,0,South East Asia
126,2729,1052,Sarawak,6,0,South East Asia
